SlNo,FarmerAge,FarmerEduaction,InvolveWithShrimpFarming,Latitude,Longitude,Zone,PriorLandUse,Area_ha,SoilType,CanalDepth_ft,GherDepth_ft,Operator,FertilizerUse,ChemicalUsePondPreparation,ChemicalUseWaterTreatment,Aerator,GherDryAfterHarvest,SludgeRemovalMethods,SludgeRemovalInterval,MaintainAndRepairDikes,PeriodOfFallow,WaterSource_DirectNatural,WaterSource_IndirectNatural,WaterComingViaOtherFarms,Reservoir,WaterExchangeFrequency,InletOutlet,CultureMethod,SourceOfFingerling,StockingDensity_PL/40MeterSquare,StockingAge_Days,PLQuality,CropRotation,FeedType,FeedAdditives,BirdScare,CrabFench,FootBath,LimitedAccess,SameEquipmentForWholeCultureArea,CulturePractice,Temperature,pH,Salinity,PreviousPrevalence(%),CurrentPrevalance(%),VirusDetected
36,41,Secondary,18,22.2949627,89.21106,Satkhira,3,0.9352226720647774,2,3.0,2.0,1,2,3,1,0,1,3,2,2,70,1,0,0,0,4,0,1,2,497.0,8,2,1,2,1,0,0,0,0,1,2,34.0,9.0,18.0,60.0,30,1
32,45,Junior Secondary,23,22.703668,89.473479,Khulna,3,3.2388663967611335,1,4.0,2.5,1,4,1,1,0,1,3,2,2,75,0,2,0,0,4,0,1,2,66.0,30,2,1,2,0,0,0,0,0,1,2,30.0,8.0,12.0,90.0,100,1
59,40,Junior Secondary,15,22.581102,89.666654,Bagerhat,3,0.6882591093117408,2,3.0,1.3,1,3,1,1,0,1,1,3,1,45,0,4,1,0,4,1,1,1,81.0,20,2,1,4,1,0,0,0,0,1,2,29.0,7.5,13.0,35.0,15,1
35,48,Primary,16,22.3461103,89.2092948,Satkhira,3,1.991902834008097,2,4.0,2.0,1,4,3,1,0,1,2,2,2,45,1,0,0,0,4,1,1,2,693.0,10,2,0,3,1,0,0,0,0,1,2,35.0,9.0,18.0,75.0,30,1
25,40,Primary,10,22.768449,89.34,Khulna,3,0.16194331983805668,1,5.0,2.0,1,3,1,1,0,1,3,2,2,140,0,4,1,0,1,1,3,2,303.0,7,2,0,3,0,0,0,0,0,1,2,26.0,8.0,6.0,100.0,20,1
19,36,Higher Secondary,9,22.768575,89.340143,Khulna,3,0.9311740890688259,2,5.0,2.5,1,1,3,3,0,1,3,2,2,40,2,0,0,0,1,1,3,2,279.0,25,2,1,3,1,0,0,0,0,1,2,28.0,7.5,7.0,70.0,100,1
225,36,Junior Secondary,10,22.683058,89.462834,Khulna,3,0.30364372469635625,2,3.0,1.5,1,3,1,1,0,1,2,2,2,30,0,2,0,0,4,1,1,2,166.0,12,2,1,4,0,0,0,0,0,1,2,25.0,,18.0,60.0,40,1
160,50,Junior Secondary,18,22.648034,89.046182,Satkhira,3,0.4048582995951417,3,4.0,1.0,1,3,1,1,0,1,3,2,2,60,0,2,0,0,1,1,3,2,80.0,25,2,1,5,0,0,0,0,0,1,2,26.0,5.0,3.0,80.0,0,0
155,17,Secondary,10,22.519653,89.010142,Satkhira,3,0.22267206477732793,3,5.0,2.5,1,3,3,3,0,1,3,2,2,45,0,2,0,0,3,1,1,1,90.0,18,2,0,5,1,0,0,0,0,1,2,26.0,9.0,12.0,75.0,40,1
97,38,Secondary,15,22.699533,89.474743,Khulna,1,0.3643724696356275,2,3.0,2.0,1,4,1,1,0,1,5,1,1,75,1,0,0,0,3,1,1,3,160.0,15,2,0,1,0,0,0,0,0,1,2,29.0,7.8,13.0,85.0,50,1
74,37,Junior Secondary,16,22.676344,89.410003,Khulna,3,0.23076923076923078,3,3.0,1.5,1,2,1,3,0,1,3,2,2,30,0,4,1,0,4,0,1,2,100.0,3,1,1,4,0,0,0,0,0,1,2,37.0,8.2,13.0,95.0,90,1
98,60,Junior Secondary,30,22.698333,89.473611,Khulna,1,0.6072874493927125,1,3.5,2.0,1,3,1,1,0,1,3,3,2,75,1,0,0,0,4,0,3,1,145.0,45,1,0,2,0,0,0,0,0,0,2,36.0,8.2,10.0,75.0,75,1
232,36,Higher Secondary,2,22.498056,89.644167,Bagerhat,1,40.48582995951417,3,0.0,5.5,0,3,1,3,1,1,1,2,2,75,0,4,1,0,1,0,4,2,480.0,15,2,0,2,1,0,0,0,0,1,2,29.0,7.9,7.0,15.0,0,0
132,47,Junior Secondary,8,22.788262,89.335302,Khulna,3,2.0242914979757085,2,4.0,3.0,0,3,1,3,0,1,2,2,2,60,0,4,1,0,3,0,1,2,200.0,12,2,1,3,1,0,0,0,0,1,2,32.0,8.0,9.0,15.0,0,0
124,65,Secondary,30,22.773745,89.324073,Khulna,3,1.1619433198380567,3,6.0,3.0,1,3,1,1,0,1,5,1,1,30,1,0,0,0,4,0,3,2,400.0,12,2,0,4,0,0,0,0,0,0,2,33.0,7.9,12.0,100.0,60,1
22,23,Higher Secondary,9,22.768241,89.340229,Khulna,3,0.5263157894736842,2,5.0,2.5,0,1,1,1,0,1,3,2,2,45,0,2,0,0,1,1,3,2,208.0,20,2,1,3,0,0,0,0,0,1,2,27.0,7.0,7.0,80.0,0,0
8,28,Primary,10,22.598216,89.729599,Khulna,3,2.0242914979757085,2,5.0,2.0,0,4,1,3,0,1,2,2,2,75,1,0,0,0,4,1,3,2,115.0,35,2,1,3,1,0,0,0,0,1,2,26.0,7.5,9.0,70.0,35,1
138,30,Secondary,25,22.679382,89.476966,Khulna,3,0.6680161943319838,2,3.0,2.0,1,3,1,3,0,1,2,2,2,45,2,0,0,0,3,0,3,3,85.0,12,2,1,4,1,0,0,0,0,1,2,27.0,9.0,11.0,60.0,0,0
18,50,Junior Secondary,16,22.768724,89.339533,Khulna,3,0.8097165991902834,3,4.0,1.5,1,3,1,1,0,1,3,2,2,180,0,2,0,0,1,1,3,2,365.0,15,2,1,3,0,0,0,0,0,1,2,27.0,7.0,6.0,30.0,0,0
145,61,No,9,22.690644,89.474009,Khulna,3,1.214574898785425,2,4.0,2.0,1,3,1,1,0,1,2,2,2,30,0,2,0,0,3,1,1,2,116.0,18,2,1,1,0,0,0,0,0,1,2,25.0,8.0,12.0,45.0,0,0
88,47,Primary,25,22.689297,89.478548,Khulna,3,0.1214574898785425,3,4.0,2.0,1,4,1,1,0,1,2,3,2,30,0,4,1,0,3,0,1,1,125.0,15,2,0,1,0,0,0,0,0,1,2,31.0,7.0,13.0,85.0,0,0
140,42,Bachelor's,1,22.660556,89.462222,Khulna,3,2.263157894736842,3,0.0,5.0,0,4,3,3,1,1,2,2,2,105,0,1,0,1,1,0,4,2,600.0,10,1,0,2,1,0,1,1,1,0,1,30.0,7.9,16.0,15.0,0,0
51,30,Secondary,15,22.3679192,89.1573535,Satkhira,3,0.9392712550607287,2,3.0,2.0,1,3,1,1,0,1,3,3,2,45,1,0,0,0,4,1,1,2,453.0,25,2,1,4,0,0,0,0,0,1,2,31.0,8.0,14.0,100.0,40,1
156,45,Primary,16,22.64748,89.044991,Satkhira,3,0.26720647773279355,3,3.0,2.0,1,3,1,1,0,1,3,2,2,50,0,4,1,0,1,1,1,2,200.0,28,2,1,1,0,0,0,0,0,1,2,27.0,6.0,10.0,40.0,0,0
13,37,Secondary,9,22.59757,89.726408,Bagerhat,3,0.4048582995951417,2,5.0,2.0,0,4,1,1,0,1,1,3,2,75,1,0,0,0,4,0,3,2,27.0,32,2,1,3,0,0,0,0,0,1,2,24.0,7.5,8.0,35.0,0,0
13,37,Secondary,9,22.59757,89.726408,Bagerhat,3,0.4048582995951417,2,5.0,2.0,0,4,1,1,0,1,1,3,2,75,1,0,0,0,4,0,3,2,27.0,32,2,1,3,0,0,0,0,0,1,2,24.0,7.5,8.0,35.0,0,0
114,53,Secondary,20,22.792105,89.333387,Khulna,1,0.728744939271255,3,5.0,2.0,1,4,3,3,0,1,3,3,2,45,1,0,0,0,2,1,1,2,125.0,8,1,0,2,1,0,0,0,0,1,2,33.0,8.5,10.0,45.0,85,1
66,37,Primary,12,22.676344,89.410003,Khulna,3,0.25303643724696356,3,3.5,2.0,1,1,1,3,0,1,3,2,2,45,0,4,1,0,4,1,1,2,75.0,7,1,1,4,0,0,0,0,0,0,2,37.0,9.0,14.0,100.0,90,1
138,30,Secondary,25,22.679382,89.476966,Khulna,3,0.6680161943319838,2,3.0,2.0,1,3,1,3,0,1,2,2,2,45,2,0,0,0,3,0,3,3,85.0,12,2,1,4,1,0,0,0,0,1,2,27.0,9.0,11.0,60.0,0,0
47,48,Secondary,9,22.3545956,89.1743198,Satkhira,3,4.008097165991903,2,5.0,2.5,1,3,1,1,0,1,3,2,2,55,1,0,0,0,4,1,1,2,463.0,25,2,1,4,1,0,0,0,0,1,2,32.0,8.0,17.0,90.0,35,1
104,22,Diploma,1,22.701944,89.472222,Khulna,1,0.22267206477732793,1,7.0,5.0,1,4,1,3,0,1,2,3,2,50,0,4,1,0,1,0,3,2,200.0,7,2,0,1,0,0,0,0,0,0,2,34.0,7.8,11.0,20.0,0,0
175,58,Primary,30,22.52017,89.010264,Satkhira,3,1.1336032388663968,3,4.5,2.0,1,3,1,1,0,1,2,2,2,50,0,2,0,0,2,1,1,2,133.0,15,2,0,1,0,0,0,0,0,1,2,27.0,9.0,13.0,75.0,0,0
115,58,Primary,25,22.79258,89.336812,Khulna,3,0.4048582995951417,2,5.0,3.0,1,4,1,1,0,1,5,1,2,105,2,0,0,0,1,1,1,3,300.0,10,3,0,3,0,0,0,0,0,0,2,31.0,7.6,8.0,100.0,0,0
24,46,Secondary,10,22.768649,89.340042,Khulna,3,1.3360323886639676,2,6.0,3.0,0,1,1,1,0,1,2,3,2,45,2,0,0,0,1,1,3,2,183.0,22,2,1,4,0,0,0,0,0,1,2,28.0,7.2,5.0,100.0,50,1
122,50,No,20,22.775381,89.327365,Khulna,3,1.417004048582996,2,5.5,2.0,1,3,1,3,0,1,3,2,2,45,1,0,0,0,2,1,1,2,643.0,8,2,0,2,1,0,0,0,0,1,2,34.0,8.0,11.0,30.0,40,1
109,33,Secondary,8,22.78597,89.335551,Khulna,1,0.3562753036437247,2,2.0,3.0,1,4,1,3,0,1,3,2,2,80,0,4,1,0,4,1,1,3,685.0,10,2,0,2,1,0,0,0,0,1,2,32.0,7.5,12.0,40.0,0,0
12,33,Secondary,15,22.592553,89.742362,Bagerhat,3,1.0121457489878543,2,6.0,3.0,1,3,1,1,0,1,2,3,2,40,1,0,0,0,4,1,3,2,216.0,15,2,1,3,1,0,0,0,0,1,2,25.0,7.0,8.0,15.0,100,1
52,42,Primary,14,22.3654688,89.1883043,Satkhira,3,2.672064777327935,2,3.0,1.5,1,3,1,1,0,1,2,2,2,45,1,0,0,0,4,1,1,2,1000.0,35,2,0,4,0,0,0,0,0,1,2,29.0,7.5,16.0,45.0,90,1
215,29,Secondary,12,22.683779,89.465372,Khulna,3,0.8097165991902834,2,6.0,2.0,0,4,1,1,0,0,2,2,2,45,0,4,1,0,1,1,1,2,100.0,15,1,0,4,1,0,0,0,0,1,2,29.0,5.0,8.0,40.0,0,1
44,54,Higher Secondary,11,22.7915117,89.7323503,Bagerhat,3,0.3643724696356275,3,4.0,4.0,1,3,3,3,1,1,3,2,2,50,0,1,0,1,2,0,4,2,315.0,25,1,0,2,1,1,1,1,1,0,1,25.0,8.0,13.0,15.0,0,0
68,47,Higher Secondary,21,22.695338,89.410097,Khulna,3,0.9311740890688259,3,3.0,2.0,1,3,1,3,0,1,1,2,2,30,1,0,0,0,3,0,1,2,123.0,13,2,1,3,1,0,0,0,0,1,2,28.0,8.0,14.0,40.0,20,1
73,32,Primary,15,22.695229,89.410033,Khulna,1,1.0121457489878543,3,2.5,1.4,1,3,1,1,0,1,3,3,2,75,0,4,1,0,3,0,1,1,224.0,14,2,1,3,0,0,0,0,0,0,2,28.0,8.0,13.0,45.0,40,1
10,50,Primary,10,22.596792,89.735502,Bagerhat,3,4.048582995951417,2,4.0,3.0,1,3,1,1,0,1,2,2,2,50,1,0,0,0,4,1,3,2,122.0,15,2,1,3,1,0,0,0,0,1,2,25.0,8.0,7.0,40.0,100,1
65,55,Higher Secondary,20,22.695308,89.410054,Khulna,3,0.1417004048582996,3,2.0,1.2,1,3,1,3,0,1,3,2,2,45,2,0,0,0,4,0,1,1,268.0,15,2,1,3,1,0,0,0,0,1,2,28.0,7.5,13.0,35.0,0,0
60,32,Higher Secondary,15,22.582054,89.666057,Bagerhat,3,0.145748987854251,1,5.0,3.0,1,1,1,3,0,1,3,2,2,55,0,4,1,0,3,1,1,1,300.0,30,2,0,3,1,0,0,0,0,1,2,28.0,7.0,13.0,100.0,45,1
121,28,Higher Secondary,25,22.77351,89.326545,Khulna,3,0.2834008097165992,3,3.0,2.0,1,1,1,1,0,1,2,3,2,30,0,4,1,0,4,1,3,2,250.0,8,2,0,1,0,0,0,0,0,0,2,32.0,8.0,12.0,100.0,45,1
13,37,Secondary,9,22.59757,89.726408,Bagerhat,3,0.4048582995951417,2,5.0,2.0,0,4,1,1,0,1,1,3,2,75,1,0,0,0,4,0,3,2,27.0,32,2,1,3,0,0,0,0,0,1,2,24.0,7.5,8.0,35.0,0,0
96,33,Secondary,3,22.70194,89.473803,Khulna,3,0.012145748987854251,2,4.0,2.0,1,2,1,1,0,1,3,3,2,30,0,4,1,0,4,0,3,1,125.0,9,2,1,4,0,0,0,0,0,1,2,31.0,8.0,12.0,20.0,0,0
20,30,Higher Secondary,9,22.749761,89.321712,Khulna,3,0.6680161943319838,3,3.0,2.5,1,1,3,3,0,1,3,2,2,35,0,2,0,0,1,0,3,1,115.0,15,2,1,3,1,0,0,0,0,1,2,26.0,7.5,10.0,30.0,15,1
75,55,Higher Secondary,20,22.676317,89.409818,Khulna,1,1.1133603238866396,3,5.0,2.5,1,3,1,3,0,1,3,2,2,55,2,0,0,0,2,1,1,1,180.0,8,2,1,3,1,0,0,0,0,1,2,28.0,7.5,14.0,45.0,0,0
160,50,Junior Secondary,18,22.648034,89.046182,Satkhira,3,0.4048582995951417,3,4.0,1.0,1,3,1,1,0,1,3,2,2,60,0,2,0,0,1,1,3,2,80.0,25,2,1,5,0,0,0,0,0,1,2,26.0,5.0,3.0,80.0,0,0
5,22,Primary,4,22.597399,89.739075,Bagerhat,3,2.3157894736842106,2,6.0,2.5,1,4,1,3,0,1,1,2,1,55,1,0,0,0,4,0,1,2,44.0,30,2,1,4,1,0,0,0,0,1,2,24.0,7.5,11.0,15.0,45,1
29,50,Junior Secondary,12,22.700904,89.457357,Khulna,3,0.14979757085020243,1,2.0,1.0,1,2,1,1,0,1,3,3,2,30,3,0,0,0,1,0,3,1,166.0,30,2,1,4,0,0,0,0,0,1,2,27.0,6.0,4.0,15.0,0,0
136,73,Secondary,12,22.729662,89.470217,Khulna,3,0.05263157894736842,2,5.0,5.0,1,4,1,1,0,1,3,3,2,45,1,0,0,0,3,1,1,1,80.0,13,2,0,5,0,0,0,0,0,0,2,26.0,8.0,12.0,55.0,0,0
113,50,No,15,22.792402,89.332432,Khulna,3,0.20242914979757085,2,4.5,1.5,1,4,1,1,0,1,2,2,2,45,1,0,0,0,3,1,1,2,260.0,7,1,0,2,0,0,0,0,0,1,2,34.0,8.0,11.0,40.0,70,1
78,70,Primary,20,22.698237,89.415383,Khulna,1,0.4048582995951417,3,4.0,3.0,0,4,1,1,0,1,5,1,1,45,1,0,0,0,4,1,1,1,80.0,15,2,0,1,0,0,0,0,0,1,2,28.0,8.0,14.0,75.0,100,1
116,35,Secondary,15,22.796803,89.329085,Khulna,1,0.6072874493927125,3,5.0,2.5,1,4,1,1,0,1,3,2,2,45,1,0,0,0,3,1,1,2,266.0,8,1,0,2,0,0,0,0,0,1,2,35.0,8.0,10.0,100.0,0,0
53,39,Secondary,19,22.3651067,89.1903866,Satkhira,3,2.2955465587044532,1,3.0,2.0,1,3,1,1,0,1,3,3,2,30,0,2,0,0,4,1,1,2,486.0,20,2,0,3,1,0,0,0,0,1,2,32.0,9.0,25.0,100.0,30,1
72,58,Primary,15,22.676344,89.410003,Khulna,1,1.214574898785425,1,6.0,2.5,1,4,1,1,0,1,5,1,2,75,0,4,1,0,4,1,1,1,275.0,7,2,0,1,0,0,0,0,0,0,2,36.0,8.8,13.0,90.0,85,1
23,31,Junior Secondary,4,22.7918,89.341884,Khulna,3,2.672064777327935,3,8.0,5.0,1,1,1,3,0,1,3,2,2,30,2,0,0,0,2,0,1,2,95.0,20,2,1,2,1,0,0,0,0,1,2,26.0,8.0,2.5,15.0,0,0
50,28,Secondary,8,22.8030726,89.7363819,Bagerhat,3,0.32388663967611336,2,8.0,5.0,1,1,3,3,0,1,3,2,2,50,3,0,0,0,4,0,1,1,350.0,25,2,0,4,1,0,0,0,0,1,2,26.0,7.0,10.0,40.0,40,1
48,30,Higher Secondary,10,22.3545956,89.1743198,Satkhira,3,1.874493927125506,2,5.0,3.0,1,3,3,1,0,1,3,2,2,75,1,0,0,0,1,1,1,2,361.0,12,2,1,4,0,0,0,0,0,1,2,32.0,5.5,7.0,30.0,90,1
145,61,No,9,22.690644,89.474009,Khulna,3,1.214574898785425,2,4.0,2.0,1,3,1,1,0,1,2,2,2,30,0,2,0,0,3,1,1,2,116.0,18,2,1,1,0,0,0,0,0,1,2,25.0,8.0,12.0,45.0,0,0
223,32,Junior Secondary,14,22.683444,89.465384,Khulna,3,0.30364372469635625,1,4.0,2.0,1,3,1,1,0,1,2,3,2,30,0,4,1,0,1,1,1,3,155.0,10,2,0,1,0,0,0,0,0,1,2,25.0,,18.0,55.0,35,1
219,31,Higher Secondary,10,22.683476,89.464688,Khulna,3,0.4048582995951417,2,6.0,3.0,1,3,1,1,0,1,2,2,2,45,0,4,1,0,4,1,1,2,180.0,12,2,0,2,0,0,0,0,0,1,2,28.0,,25.0,100.0,35,1
230,40,Higher Secondary,5,22.506111,89.662222,Bagerhat,1,0.8704453441295547,1,0.0,5.0,0,3,3,3,1,1,1,2,4,70,1,0,0,0,1,1,4,2,640.0,12,2,0,2,1,0,0,0,0,1,2,30.0,7.8,12.0,75.0,75,1
71,48,Primary,14,22.697999,89.415126,Khulna,3,0.32388663967611336,2,3.5,3.0,0,3,1,3,0,1,1,3,2,45,1,0,0,0,4,1,1,2,125.0,7,3,1,3,1,0,0,0,0,1,2,28.0,8.0,13.0,100.0,40,1
13,37,Secondary,9,22.59757,89.726408,Bagerhat,3,0.4048582995951417,2,5.0,2.0,0,4,1,1,0,1,1,3,2,75,1,0,0,0,4,0,3,2,27.0,32,2,1,3,0,0,0,0,0,1,2,24.0,7.5,8.0,35.0,0,0
45,29,Secondary,4,22.7404847,89.4649385,Khulna,3,0.2631578947368421,2,6.0,4.0,1,3,3,3,1,1,3,2,2,30,0,1,0,1,2,0,4,2,289.0,15,1,0,2,1,1,1,1,1,0,1,24.0,8.0,12.0,20.0,0,0
156,45,Primary,16,22.64748,89.044991,Satkhira,3,0.26720647773279355,3,3.0,2.0,1,3,1,1,0,1,3,2,2,50,0,4,1,0,1,1,1,2,200.0,28,2,1,1,0,0,0,0,0,1,2,27.0,6.0,10.0,40.0,0,0
27,40,Higher Secondary,9,22.768267,89.341026,Khulna,3,0.44534412955465585,2,4.0,1.0,1,1,1,1,0,1,1,2,2,45,0,2,0,0,3,0,3,2,300.0,12,2,1,3,0,0,0,0,0,1,2,30.0,7.0,5.0,100.0,0,0
159,48,Higher Secondary,18,22.670353,89.050727,Satkhira,3,0.44534412955465585,3,3.0,1.0,1,3,1,1,0,1,3,2,2,45,0,2,0,0,1,1,1,2,400.0,30,2,1,5,0,0,0,0,1,1,2,27.0,6.0,4.0,40.0,0,0
81,48,Primary,18,22.698237,89.415383,Khulna,3,0.242914979757085,2,4.0,3.0,1,3,1,3,0,1,1,2,2,50,2,0,0,0,4,1,1,2,80.0,15,2,0,3,1,0,0,0,0,0,2,29.0,7.5,12.0,60.0,35,1
145,61,No,9,22.690644,89.474009,Khulna,3,1.214574898785425,2,4.0,2.0,1,3,1,1,0,1,2,2,2,30,0,2,0,0,3,1,1,2,116.0,18,2,1,1,0,0,0,0,0,1,2,25.0,8.0,12.0,45.0,0,0
107,35,Junior Secondary,20,22.702213,89.471484,Khulna,3,0.4048582995951417,2,5.0,3.0,1,3,1,3,0,1,1,3,2,70,1,0,0,0,3,1,1,3,150.0,20,3,0,3,1,0,0,0,0,1,2,30.0,7.9,13.0,65.0,45,1
130,40,No,4,22.789804,89.33496,Khulna,3,0.1417004048582996,2,42.0,2.5,1,4,1,1,0,1,5,1,2,60,2,0,0,0,3,0,1,3,345.0,10,2,0,4,0,0,0,0,0,1,2,34.0,8.5,10.0,45.0,35,1
61,50,Secondary,26,22.579497,89.666535,Bagerhat,3,0.21052631578947367,1,3.5,3.0,1,1,1,1,0,1,3,3,2,30,0,4,1,0,1,0,3,1,250.0,7,2,0,4,1,0,0,0,0,1,2,28.0,7.5,14.0,100.0,20,1
45,29,Secondary,4,22.7404847,89.4649385,Khulna,3,0.2631578947368421,2,6.0,4.0,1,3,3,3,1,1,3,2,2,30,0,1,0,1,2,0,4,2,289.0,15,1,0,2,1,1,1,1,1,0,1,24.0,8.0,12.0,20.0,0,0
44,54,Higher Secondary,11,22.7915117,89.7323503,Bagerhat,3,0.3643724696356275,3,4.0,4.0,1,3,3,3,1,1,3,2,2,50,0,1,0,1,2,0,4,2,315.0,25,1,0,2,1,1,1,1,1,0,1,25.0,8.0,13.0,15.0,0,0
132,47,Junior Secondary,8,22.788262,89.335302,Khulna,3,2.0242914979757085,2,4.0,3.0,0,3,1,3,0,1,2,2,2,60,0,4,1,0,3,0,1,2,200.0,12,2,1,3,1,0,0,0,0,1,2,32.0,8.0,9.0,15.0,0,0
108,50,Secondary,20,22.702213,89.471485,Khulna,3,0.2631578947368421,2,3.0,2.0,1,4,1,1,0,1,2,2,2,50,0,4,1,0,3,0,1,3,130.0,12,3,0,2,0,0,0,0,0,1,2,30.0,7.8,13.0,65.0,15,1
